name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Antonio Rodrigo Nogueira,Minotauro,34,10,1,190.5,108.86,195.58,Orthodox,02-06-1976
Antonio Schembri,Nino,5,5,0,175.26,92.99,,Orthodox,01-06-1974
Antonio Silva,Bigfoot,19,12,1,193.04,119.75,208.28,Orthodox,14-09-1979
Antonio Trocoli,Malvado,12,3,0,195.58,92.99,208.28,Orthodox,06-12-1990
Antony Rea,Wild Thing,33,15,0,182.88,92.99,,Orthodox,15-07-1976
Antwain Britt,The Juggernaut,11,6,0,185.42,92.99,195.58,,
Anvar Boynazarov,The Uzbek,3,1,0,175.26,65.77,,Orthodox,10-01-1989
Anying Wang,,2,1,0,182.88,77.11,,Orthodox,04-04-1991
Aoriqileng,The Mongolian Murderer,25,10,0,170.18,61.23,175.26,Orthodox,25-06-1993
Ariane Carnelossi,Sorriso,14,3,0,157.48,52.16,154.94,Orthodox,17-11-1992
Ariane Lipski,Queen of Violence,16,8,0,167.64,56.7,170.18,Orthodox,26-01-1994
Ariel Beck,,4,5,0,167.64,56.7,167.64,Southpaw,16-09-1990
Ariel Gandulla,,7,9,0,180.34,92.99,,Orthodox,07-05-1968
Arjan Bhullar,,9,1,0,185.42,111.13,190.5,Orthodox,13-05-1986
Arlene Blencowe,Angerfist,9,6,0,165.1,65.77,,,
Arman Ashimov,Mustafa Ozturik,11,3,1,167.64,56.7,,,
Arman Tsarukyan,Ahalkalakets,21,3,0,170.18,70.31,182.88,Orthodox,11-10-1996
Armando Villarreal,La Lumbre,5,2,0,170.18,61.23,167.64,Southpaw,08-08-1989
Armen Petrosyan,Superman,9,2,0,190.5,83.91,180.34,Orthodox,02-11-1990
Arnold Allen,Almighty,19,2,0,172.72,65.77,177.8,Southpaw,22-01-1994
Art Arciniega,King Arthur,15,7,0,172.72,65.77,,,
Art Jimmerson,,0,1,0,185.42,88.9,,Orthodox,04-08-1963
Art Santore,Pachuco,18,8,0,187.96,83.91,,,
Artem Frolov,,11,0,0,177.8,83.91,,,
Artem Lobov,The Russian Hammer,13,15,1,175.26,65.77,165.1,Southpaw,11-08-1986
Artenus Young,,10,12,0,,92.99,,,
Artur Oumakhanov,,9,6,0,170.18,69.85,,Orthodox,27-02-1979
Asbel Cancio,,0,1,0,177.8,102.06,,,
Ashe Bowman,The Archer,9,11,0,175.26,70.31,,,
Ashiek Ajim,Peak Physique,6,2,0,172.72,61.23,180.34,Switch,19-06-1994
Ashkan Mokhtarian,The Assassin,13,3,0,167.64,56.7,170.18,Southpaw,15-09-1985
Ashlee Evans-Smith,Rebel Girl,6,6,0,172.72,61.23,170.18,Orthodox,09-07-1987
Ashley Yoder,SpiderMonkey,8,9,0,170.18,52.16,175.26,Southpaw,20-10-1987
Asjabharan,,7,6,0,167.64,61.23,,,
Askar Askar,AK-47,11,1,0,170.18,65.77,175.26,Orthodox,19-08-1994
Askar Askarov,Bullet,14,1,1,167.64,56.7,170.18,Orthodox,09-10-1992
Askar Mozharov,,19,13,0,190.5,92.99,187.96,Orthodox,26-10-1994
Aspen Ladd,,9,3,0,167.64,61.23,167.64,Orthodox,01-03-1995
Assu Almabayev,Zulfikar,18,2,0,162.56,56.7,165.1,Orthodox,25-01-1994
Assuerio Silva,,16,8,0,177.8,109.32,,Orthodox,18-06-1974
Atsushi Yamamoto,,19,11,3,167.64,63.05,,Orthodox,02-10-1980
Augusto Mendes,Tanquinho,6,2,0,167.64,61.23,165.1,Orthodox,03-03-1983
Augusto Montano,Dodger,15,3,0,185.42,77.11,185.42,Orthodox,25-10-1984
Augusto Sakai,,16,5,1,190.5,120.2,195.58,Orthodox,09-05-1991
Aurelijus Kerpe,,11,22,0,,,,Orthodox,
Austen Lane,,12,4,0,198.12,111.13,203.2,Orthodox,09-11-1987
Austin Arnett,,16,6,0,182.88,65.77,182.88,Orthodox,22-10-1991
Austin Hubbard,Thud,16,7,0,177.8,70.31,180.34,Orthodox,22-12-1991
Austin Lingo,Lights Out,9,3,0,177.8,65.77,177.8,Orthodox,10-07-1994
Austin Springer,,12,4,0,172.72,65.77,180.34,Orthodox,12-05-1987
Austin Tweedy,,8,2,0,175.26,70.31,,Orthodox,25-09-1990
Austin Vanderford,AK-47,4,0,0,180.34,77.11,,Orthodox,21-03-1990
